,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
2,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_002.tif,ADF-STEM,28,10000.0,31.953513078833865,27.9361400999173,HR
3,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_003.tif,ADF-STEM,28,10000.0,20.77794397973785,18.815031624057703,HR
4,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_004.tif,ADF-STEM,28,10000.0,45.338898644606836,35.55143668162682,HR
5,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_005.tif,ADF-STEM,28,10000.0,44.75894517228156,31.078540227465083,HR
6,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_000.tif,ADF-STEM,28,10000.0,34.329324642474894,29.052331385858388,HR
7,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_001.tif,ADF-STEM,28,10000.0,35.407567195995604,27.739407323493552,HR
8,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_002.tif,ADF-STEM,28,10000.0,28.39352503035977,24.689105774674697,HR
9,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_003.tif,ADF-STEM,28,10000.0,30.36058439831969,27.12053217756408,HR
10,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_004.tif,ADF-STEM,28,10000.0,40.005779728666255,28.284923509027976,HR
11,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_002_005.tif,ADF-STEM,28,10000.0,69.86999069500527,56.70467417406037,HR
76,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_001.tif,BSD,1.5,100.0,0.008967838033004272,0.05112332476318033,HR
77,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_002.tif,BSD,1.5,100.0,-0.024424677639878545,0.008157532407385093,HR
78,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_003.tif,BSD,1.5,100.0,-0.0018349520072039605,0.04031184213165978,HR
79,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_004.tif,BSD,1.5,100.0,-0.0067631510525614225,0.03715322795957708,HR
80,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_005.tif,BSD,1.5,100.0,0.0008242281322226042,0.04291773841372808,HR
81,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_006.tif,BSD,1.5,100.0,-0.006111134459559853,0.037138450601813436,HR
82,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_100ns_007.tif,BSD,1.5,100.0,0.006611995349705357,0.047612633725496546,HR
83,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_001.tif,BSD,1.5,200.0,-0.0021817372629187037,-0.00151766349964877,HR
84,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_200ns_002.tif,BSD,1.5,200.0,-0.0006714517066906955,4.240641675271847e-05,HR
