,DetectionMode,LE,Dwell,SSNR (normal),SSNR (horizontal split),SSNR (vertical split),SNR (Joy),"SNR (Joy, horizontal split)"
147,BSD-SB,1.5,300.0,-0.02476551885270778,-0.09231513777571743,0.013576576917671224,0.013632733128590827,-0.09151964368108349
148,BSD-SB,1.5,300.0,-0.022003827470639586,-0.09023057811346086,0.01590709654774336,0.015458783276350413,-0.0898238202807363
149,BSD-SB,1.5,300.0,-0.013783389049558586,-0.07929020474713905,0.022212625522207596,0.021563675082243435,-0.07896039076120781
150,BSD-SB,1.5,300.0,-0.030161350096151673,-0.09743699923623395,0.007604862151056491,0.00795330753262642,-0.09640208530919069
158,BSD-SB,1.5,500.0,0.005569315810612374,-0.06727194573432765,0.04571543495902097,0.03337899140351786,-0.07731770581252219
159,BSD-SB,1.5,500.0,0.12543188456759774,0.04632785460869793,0.16818538997239685,0.1638228392393073,0.04364166643767806
160,BSD-SB,1.5,500.0,0.09348797594636937,0.015218310971983895,0.1367301113917715,0.11903065163132781,0.00020992705139976424
161,BSD-SB,1.5,500.0,0.1343193482970208,0.05408028653374963,0.17809461589870468,0.17159291276160527,0.04934058079917476
162,BSD-SB,1.5,500.0,0.1587809964704004,0.07853748889079193,0.2044272393823866,0.18072434413337443,0.05853647933617601
163,BSD-SB,1.5,500.0,0.07206195706876767,-0.0037159493162890467,0.11221711986648208,0.10915162531470272,-0.005674203486227676
118,BSD-SB,1.5,1000.0,1.2022934498395543,1.2895687615313745,1.1630791634996571,0.9128586394099476,1.02568350560256
119,BSD-SB,1.5,1000.0,0.30143965035426157,0.3339618456246881,0.2872592111708834,0.2831781132160729,0.3303133295477485
120,BSD-SB,1.5,1000.0,1.1712620811119896,1.2420276259044603,1.1406318413471797,0.9149207971350496,1.0073118693896088
121,BSD-SB,1.5,1000.0,0.8481379129650872,0.8988536610684383,0.8250906443132613,0.7938588873743037,0.8683871107376767
122,BSD-SB,1.5,1000.0,0.9625721521243225,1.027317994618463,0.9320195657631849,0.8680328832313033,0.9620276779292953
123,BSD-SB,1.5,1000.0,1.2294420802607502,1.3197202407561621,1.1852450432257051,1.141451066355807,1.27473597923926
124,BSD-SB,1.5,1000.0,0.45663729791071794,0.4909158058397165,0.4375304484504401,0.41027784459983785,0.46442775077005755
138,BSD-SB,1.5,3000.0,5.064160872425024,6.045028984482018,4.672871580239948,4.107265884173702,5.320181219853876
139,BSD-SB,1.5,3000.0,6.092872508009123,7.307818729104021,5.610904607015455,4.9088736596059475,6.4020779718541885
140,BSD-SB,1.5,3000.0,3.487102202105121,4.205300202167364,3.2034371146831817,3.0683741585412125,4.0268585219881325
141,BSD-SB,1.5,3000.0,4.519495213986927,5.397366443202426,4.17467305211875,4.157073164423629,5.353550323977233
142,BSD-SB,1.5,3000.0,7.338293190409541,8.77882451601732,6.79295379276194,6.278524005824639,8.082845922187845
143,BSD-SB,1.5,3000.0,5.645867206163165,6.862890941520628,5.187321228741073,4.49985645449656,5.961364835848895
144,BSD-SB,1.5,3000.0,1.1981925633513149,1.5300983706498736,1.0633719642617336,1.0018441550047217,1.4528388748953078
151,BSD-SB,1.5,5000.0,8.364550947972184,9.444206501561796,7.918767825497159,7.27137238682539,8.619748989055989
152,BSD-SB,1.5,5000.0,11.151045007227077,12.657550857922102,10.553762874779173,9.858862839410751,11.73412851421772
153,BSD-SB,1.5,5000.0,6.166995069461933,6.951462450626947,5.844051694398002,5.658216781518883,6.697804251455899
154,BSD-SB,1.5,5000.0,10.00528643288541,11.367173917426962,9.45176173655769,7.446463390782709,8.933610081250473
155,BSD-SB,1.5,5000.0,11.894451892783739,13.431297837653815,11.291862658423788,10.770345476065382,12.705819108660434
156,BSD-SB,1.5,5000.0,3.4596685834544654,3.964376992120328,3.244096547955417,2.9634995545419414,3.6204015127211497
157,BSD-SB,1.5,5000.0,8.562418308896797,9.659079835761926,8.122855853690284,7.9721503686354325,9.4232554983918
112,BSD-SB,1.5,10000.0,10.412593993873477,10.968872002976589,10.162217856470935,9.654397688895646,10.343713299964408
113,BSD-SB,1.5,10000.0,11.966911335510563,12.6306397076539,11.682629699632184,11.132510571780847,11.934370073889994
114,BSD-SB,1.5,10000.0,14.903575325198165,15.64060632487137,14.594628679228167,13.014304185833359,13.821886692491566
115,BSD-SB,1.5,10000.0,15.038342175794446,15.844878237806778,14.671033376796787,13.96597388231465,14.931393329349335
116,BSD-SB,1.5,10000.0,35.30667664038452,37.16373369768433,34.460677091900294,33.4426426806057,35.17587434252718
117,BSD-SB,1.5,10000.0,34.785077208164175,36.54416709159129,34.17496345574188,30.933221477267303,32.23400854164948
174,OSTEM,4,100.0,0.7602287977091426,17.35543860472911,0.212255597332774,0.20596220462428907,16.690707665835475
175,OSTEM,4,100.0,1.2507167299965343,22.71304504454507,0.549690522370524,0.44146482798893216,20.250751440987198
176,OSTEM,4,100.0,0.8059672908109359,17.964168374886427,0.2433967811942671,0.18046021723530337,16.44548959621588
177,OSTEM,4,100.0,0.8717682893596574,18.68047054513808,0.2885867966211111,0.2541376368771303,17.569462842729262
178,OSTEM,4,100.0,0.8233563199917748,18.1474717360386,0.2553905812261824,0.2000781712349972,16.718885641903217
179,OSTEM,4,200.0,0.8748107830818823,6.382029345214669,0.36607902573351525,0.364227035258042,6.28285686159294
180,OSTEM,4,200.0,0.7226922369123361,5.777134368213197,0.2547182304241584,0.22187912199332094,5.527496312771169
181,OSTEM,4,200.0,1.132835412206544,7.37714726812887,0.5540731663003113,0.5288716421130079,7.137911204071604
182,OSTEM,4,200.0,0.6435457806659556,5.488397111357196,0.1968295430357585,0.1853343351811897,5.3576833741752345
183,OSTEM,4,200.0,0.8519905322758341,6.287546589617666,0.3491462549662827,0.3020115748919361,5.953651986649669
189,OSTEM,4,300.0,0.6013215556979656,3.061326391575681,0.22866949994100083,0.21992491032049266,3.012152348535014
